,Government transfers and income tax ,,,,,,,
$START,(Government transfers),,,,,,,
,,2006,,,2007,,,
,,Government transfers,,,,,,
,,Average $ constant 2007,Implicit transfer rates1 %,Shares %,Average $ constant 2007,Implicit transfer rates1 %,Shares %,
,"Economic families, two people or more",8900,10.7,100,9000,10.4,100,
,Lowest quintile,12500,47.2,28.1,12800,45.7,28.4,
,Second quintile,11000,22.8,24.7,11300,22.7,25.1,
,Third quintile,9200,13.2,20.7,9200,12.9,20.4,
,Fourth quintile,7000,7.2,15.6,6900,6.9,15.4,
,Highest quintile,"4,800E",2.7E,10.9E,4900,2.6,10.8,
,Unattached individuals,5500,15.8,100,5700,15.9,100,
,Lowest quintile,3600,49,13.2,4300,53.3,15,
,Second quintile,9100,54.3,32.7,9600,55.7,33.7,
,Third quintile,8000,31,28.9,7300,27.6,25.9,
,Fourth quintile,4300,10.6,15.6,4700,11.3,16.5,
,Highest quintile,2700,3.2,9.6,2600,3,9,
,E : use with caution.,,,,,,,$END
,"Note: After-tax income quintiles constitute one method of categorising a population by income. The lowest quintile represents the 20% of the population whose income is lowest. By the same token, the highest quintile represents the 20% of the population whose income is highest.",,,,,,,
,"1. The ""implicit"" rate of either transfers or taxes demonstrates the relative importance of transfers received or taxes paid. For a given individual or family, the implicit rate is the amount of transfers or taxes expressed as a percentage of their total income.",,,,,,,
,"Source: Statistics Canada, CANSIM, table (for fee) 202-0301 and Catalogue no. 75-202-X.",,,,,,,
,Last modified: 2009-06-02.,,,,,,,
